,medallion, hack_license, vendor_id, rate_code, store_and_fwd_flag, pickup_datetime, dropoff_datetime, passenger_count, trip_time_in_secs, trip_distance, pickup_longitude, pickup_latitude, dropoff_longitude, dropoff_latitude,pickup_taxizone_id,dropoff_taxizone_id
4913631,2010000001,2010000001,VTS,1,,2010-01-11 21:18:00,2010-01-11 21:22:00,1,4.0,0.61,-73.945747,40.836887,-73.941345,40.843735,244,244.0
4922202,2010000001,2010000001,VTS,1,,2010-01-11 21:40:00,2010-01-11 21:50:00,1,10.0,3.14,-73.979378,40.764778,-73.949539,40.795898,163,75.0
4931987,2010000001,2010000001,VTS,1,,2010-01-11 22:06:00,2010-01-11 22:15:00,1,9.0,2.29,-73.978226,40.763397,-73.954216,40.784416,163,236.0
4939865,2010000001,2010000001,VTS,1,,2010-01-11 22:27:00,2010-01-11 22:36:00,1,9.0,2.74,-73.981232,40.764263,-74.004219,40.729782,163,249.0
4943159,2010000001,2010000001,VTS,1,,2010-01-11 22:37:00,2010-01-11 22:43:00,2,6.0,1.59,-74.004166,40.729893,-74.016151,40.715221,249,13.0
4956731,2010000001,2010000001,VTS,1,,2010-01-11 23:23:00,2010-01-11 23:27:00,1,4.0,1.0,-73.980919,40.764099,-73.99556,40.764778,163,50.0
5371856,2010000001,2010000001,VTS,1,,2010-01-12 20:38:00,2010-01-12 21:08:00,2,30.0,17.79,-73.789459,40.646568,-73.99791,40.746696,132,68.0
5387269,2010000001,2010000001,VTS,1,,2010-01-12 21:09:00,2010-01-12 21:14:00,1,5.0,1.41,-74.000336,40.747833,-73.990631,40.762554,68,48.0
5390831,2010000001,2010000001,VTS,1,,2010-01-12 21:16:00,2010-01-12 21:21:00,1,5.0,1.1,-73.988037,40.761524,-73.973801,40.763565,48,163.0
5394832,2010000001,2010000001,VTS,1,,2010-01-12 21:24:00,2010-01-12 21:37:00,1,13.0,2.38,-73.971268,40.760406,-73.995949,40.738514,162,234.0
5402562,2010000001,2010000001,VTS,1,,2010-01-12 21:39:00,2010-01-12 21:46:00,1,7.0,1.57,-73.995346,40.739464,-73.987793,40.75716,90,230.0
5406640,2010000001,2010000001,VTS,1,,2010-01-12 21:47:00,2010-01-12 22:18:00,2,31.0,10.44,-73.989342,40.758976,-73.918114,40.871853,48,127.0
5437840,2010000001,2010000001,VTS,1,,2010-01-12 22:56:00,2010-01-12 23:01:00,1,5.0,1.06,-73.967506,40.766285,-73.968506,40.75494,237,229.0
5443657,2010000001,2010000001,VTS,1,,2010-01-12 23:12:00,2010-01-12 23:25:00,2,13.0,2.52,-73.989098,40.749409,-73.980652,40.780647,186,239.0
5449386,2010000001,2010000001,VTS,1,,2010-01-12 23:29:00,2010-01-12 23:37:00,1,8.0,1.85,-73.982132,40.774002,-73.991653,40.750244,142,186.0
5456633,2010000001,2010000001,VTS,1,,2010-01-12 23:52:00,2010-01-13 00:05:00,1,13.0,3.71,-73.992798,40.748444,-73.950951,40.769806,186,140.0
5837044,2010000001,2010000001,VTS,1,,2010-01-13 19:29:00,2010-01-13 20:02:00,1,33.0,19.58,-73.789932,40.643646,-73.949547,40.771061,132,262.0
5858717,2010000001,2010000001,VTS,1,,2010-01-13 20:08:00,2010-01-13 20:19:00,2,11.0,3.94,-73.949844,40.771168,-73.983345,40.730785,262,79.0
5869774,2010000001,2010000001,VTS,1,,2010-01-13 20:29:00,2010-01-13 20:36:00,3,7.0,2.03,-73.988655,40.731159,-73.970039,40.756889,79,162.0
5874322,2010000001,2010000001,VTS,1,,2010-01-13 20:38:00,2010-01-13 20:51:00,2,13.0,2.95,-73.969894,40.75806,-73.977089,40.783508,162,239.0
5889640,2010000001,2010000001,VTS,1,,2010-01-13 21:09:00,2010-01-13 21:14:00,1,5.0,0.93,-73.987122,40.75592,-73.991493,40.744831,100,90.0
5892598,2010000001,2010000001,VTS,1,,2010-01-13 21:15:00,2010-01-13 21:22:00,2,7.0,1.36,-73.991211,40.744305,-74.002319,40.734535,234,249.0
5897063,2010000001,2010000001,VTS,1,,2010-01-13 21:24:00,2010-01-13 21:35:00,2,11.0,2.15,-74.003731,40.732079,-73.989708,40.757904,249,48.0
5909315,2010000001,2010000001,VTS,1,,2010-01-13 21:49:00,2010-01-13 22:01:00,1,12.0,1.82,-73.985367,40.759087,-73.981049,40.744953,230,170.0
5915729,2010000001,2010000001,VTS,1,,2010-01-13 22:02:00,2010-01-13 22:11:00,1,9.0,2.45,-73.980644,40.744602,-73.956818,40.772121,170,141.0
6311678,2010000001,2010000001,VTS,1,,2010-01-14 18:53:00,2010-01-14 19:29:00,1,36.0,18.12,-73.787552,40.641617,-73.985184,40.757568,132,230.0
6341969,2010000001,2010000001,VTS,1,,2010-01-14 19:45:00,2010-01-14 19:55:00,2,10.0,0.68,-73.985771,40.758636,-73.985008,40.762482,230,230.0
