taxi_zone,time_stamp,time_interval,arr_weekday,arr_weekend,avg_weekday,avg_weekend,prob_pu_weekday,prob_pu_weekend,c_pu_weekday,c_pu_weekend
191,42,20:30:00,0.0,1.000000000000003,0.0,0.1,0.0,0.6321205588285588,0.0,10.000000000000032
191,43,21:00:00,1.000000000000004,1.000000000000003,0.05,0.1,0.6321205588285592,0.6321205588285588,20.000000000000078,10.000000000000032
191,44,21:30:00,0.0,1.000000000000003,0.0,0.1,0.0,0.6321205588285588,0.0,10.000000000000032
191,45,22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,46,22:30:00,0.0,1.000000000000003,0.0,0.1,0.0,0.6321205588285588,0.0,10.000000000000032
191,47,23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,48,23:30:00,1.000000000000004,0.0,0.05,0.0,0.6321205588285592,0.0,20.000000000000078,0.0
192,1,00:00:00,1.3954687500000045,1.000000000000003,0.2,0.1,0.7522831081450727,0.6321205588285588,27.90937500000009,10.000000000000032
192,2,00:30:00,1.000000000000003,0.0,0.1,0.0,0.6321205588285588,0.0,20.000000000000064,0.0
192,3,01:00:00,1.9375781250000075,1.000000000000003,0.1,0.1,0.8559475954322792,0.6321205588285588,38.75156250000015,10.000000000000032
192,4,01:30:00,1.000000000000004,1.000000000000003,0.05,0.1,0.6321205588285592,0.6321205588285588,20.000000000000078,10.000000000000032
192,5,02:00:00,1.3954687500000045,0.0,0.2,0.0,0.7522831081450727,0.0,27.90937500000009,0.0
192,6,02:30:00,1.000000000000004,1.000000000000003,0.05,0.1,0.6321205588285592,0.6321205588285588,20.000000000000078,10.000000000000032
192,7,03:00:00,1.55466796875,1.000000000000003,0.15,0.1,0.7887404842417749,0.6321205588285588,31.093359375,10.000000000000032
192,8,03:30:00,1.000000000000004,1.000000000000003,0.05,0.1,0.6321205588285592,0.6321205588285588,20.000000000000078,10.000000000000032
192,9,04:00:00,1.000000000000004,1.3954687500000036,0.05,0.4,0.6321205588285592,0.7522831081450725,20.000000000000078,13.954687500000036
192,10,04:30:00,1.000000000000004,1.9633593750000058,0.05,0.4,0.6321205588285592,0.8596139814041861,20.000000000000078,19.63359375000006
192,11,05:00:00,1.000000000000004,1.9375781250000061,0.05,0.2,0.6321205588285592,0.8559475954322789,20.000000000000078,19.37578125000006
192,12,05:30:00,0.0,1.000000000000003,0.0,0.1,0.0,0.6321205588285588,0.0,10.000000000000032
192,13,06:00:00,1.9375781250000075,1.000000000000003,0.1,0.1,0.8559475954322792,0.6321205588285588,38.75156250000015,10.000000000000032
192,14,06:30:00,1.55466796875,1.000000000000003,0.15,0.1,0.7887404842417749,0.6321205588285588,31.093359375,10.000000000000032
192,15,07:00:00,1.000000000000004,1.000000000000003,0.05,0.1,0.6321205588285592,0.6321205588285588,20.000000000000078,10.000000000000032
192,16,07:30:00,1.9633593750000067,1.000000000000003,0.2,0.1,0.8596139814041862,0.6321205588285588,39.267187500000134,10.000000000000032
192,17,08:00:00,1.5,1.55466796875,0.15,0.3,0.7768698398515702,0.7887404842417749,30.0,15.5466796875
192,18,08:30:00,1.55466796875,1.000000000000003,0.15,0.1,0.7887404842417749,0.6321205588285588,31.093359375,10.000000000000032
192,19,09:00:00,1.55466796875,1.9375781250000061,0.15,0.2,0.7887404842417749,0.8559475954322789,31.093359375,19.37578125000006
192,20,09:30:00,1.000000000000004,1.000000000000003,0.05,0.1,0.6321205588285592,0.6321205588285588,20.000000000000078,10.000000000000032
192,21,10:00:00,1.000000000000004,0.0,0.05,0.0,0.6321205588285592,0.0,20.000000000000078,0.0
192,22,10:30:00,1.55466796875,0.0,0.15,0.0,0.7887404842417749,0.0,31.093359375,0.0
192,23,11:00:00,0.0,2.381250000000004,0.0,0.5,0.0,0.9075650384365241,0.0,23.812500000000043
192,24,11:30:00,1.000000000000004,0.0,0.05,0.0,0.6321205588285592,0.0,20.000000000000078,0.0
192,25,12:00:00,1.9375781250000075,3.441953125000012,0.1,0.4,0.8559475954322792,0.9679978798919342,38.75156250000015,34.41953125000012
192,26,12:30:00,1.000000000000004,3.0,0.05,0.3,0.6321205588285592,0.950212931632136,20.000000000000078,30.0
192,27,13:00:00,1.000000000000004,1.000000000000003,0.05,0.1,0.6321205588285592,0.6321205588285588,20.000000000000078,10.000000000000032
192,28,13:30:00,0.0,1.000000000000003,0.0,0.1,0.0,0.6321205588285588,0.0,10.000000000000032
192,29,14:00:00,1.000000000000004,1.000000000000003,0.05,0.1,0.6321205588285592,0.6321205588285588,20.000000000000078,10.000000000000032
192,30,14:30:00,1.3954687500000045,1.55466796875,0.2,0.3,0.7522831081450727,0.7887404842417749,27.90937500000009,15.5466796875
192,31,15:00:00,1.683203125000003,1.000000000000003,0.25,0.1,0.8142220480232031,0.6321205588285588,33.66406250000006,10.000000000000032
192,32,15:30:00,2.6639062499999997,1.000000000000003,0.15,0.1,0.9303244805281493,0.6321205588285588,53.278124999999996,10.000000000000032
192,33,16:00:00,1.000000000000004,2.6639062499999997,0.05,0.3,0.6321205588285592,0.9303244805281493,20.000000000000078,26.639062499999998
192,34,16:30:00,0.0,1.9375781250000061,0.0,0.2,0.0,0.8559475954322789,0.0,19.37578125000006
192,35,17:00:00,1.000000000000004,1.3954687500000036,0.05,0.4,0.6321205588285592,0.7522831081450725,20.000000000000078,13.954687500000036
192,36,17:30:00,1.000000000000004,1.000000000000003,0.05,0.1,0.6321205588285592,0.6321205588285588,20.000000000000078,10.000000000000032
192,37,18:00:00,1.000000000000003,1.000000000000003,0.1,0.1,0.6321205588285588,0.6321205588285588,20.000000000000064,10.000000000000032
192,38,18:30:00,1.9633593750000067,0.0,0.2,0.0,0.8596139814041862,0.0,39.267187500000134,0.0
192,39,19:00:00,1.9375781250000075,1.000000000000003,0.1,0.1,0.8559475954322792,0.6321205588285588,38.75156250000015,10.000000000000032
192,40,19:30:00,1.55466796875,1.000000000000003,0.15,0.1,0.7887404842417749,0.6321205588285588,31.093359375,10.000000000000032
192,41,20:00:00,1.000000000000004,0.0,0.05,0.0,0.6321205588285592,0.0,20.000000000000078,0.0
192,42,20:30:00,1.000000000000004,1.000000000000003,0.05,0.1,0.6321205588285592,0.6321205588285588,20.000000000000078,10.000000000000032
192,43,21:00:00,1.000000000000004,0.0,0.05,0.0,0.6321205588285592,0.0,20.000000000000078,0.0
192,44,21:30:00,1.000000000000004,0.0,0.05,0.0,0.6321205588285592,0.0,20.000000000000078,0.0
192,45,22:00:00,1.9633593750000067,0.0,0.2,0.0,0.8596139814041862,0.0,39.267187500000134,0.0
192,46,22:30:00,1.000000000000004,0.0,0.05,0.0,0.6321205588285592,0.0,20.000000000000078,0.0
192,47,23:00:00,1.000000000000004,1.000000000000003,0.05,0.1,0.6321205588285592,0.6321205588285588,20.000000000000078,10.000000000000032
192,48,23:30:00,1.55466796875,2.000000000000006,0.15,0.2,0.7887404842417749,0.8646647167633882,31.093359375,20.000000000000064
193,1,00:00:00,3.8562109374999993,3.7777685546874995,3.4,3.4,0.9788520210822418,0.9771263241237563,77.12421874999998,37.77768554687499
193,2,00:30:00,5.2107690429687565,4.336389160156251,3.55,3.7,0.9945425249594294,0.9869163138925194,104.21538085937513,43.363891601562514
